Title,DOI,relevance_score,is_data_available,is_model_used,is_dataset_public,dataset_link,citation_count,disease_focus,location_focus,keywords,models,discussion_recommendation
ORTEGA: An object-oriented time-geographic analytical approach to trace space-time contact patterns in movement data,10.1016/j.compenvurbsys.2021.101630,,,,,,,,,,,
Canine vector-borne disease: mapping and the accuracy of forecasting using big data from the veterinary community,10.1017/S1466252319000045,,,,,,,,,,,
Usefulness of commercially available GPS data-loggers for tracking human movement and exposure to dengue virus,10.1186/1476-072X-8-68,,,,,,,,,,,
"Tick-borne pathogens, including Crimean-Congo haemorrhagic fever virus, at livestock markets and slaughterhouses in western Kenya",10.1111/tbed.13911,,,,,,,,,,,
A stochastic agent-based model to evaluate COVID-19 transmission influenced by human mobility,10.1007/s11071-023-08489-5,9.0,,,no,not mentioned,3.0,COVID-19,global,"['human mobility', 'COVID-19 transmission', 'stochastic agent-based model']","['Mob-Cov model', 'stochastic agent-based modeling']","Yes, this paper should be included because it introduces a novel model that incorporates various scales of human mobility and examines their impact on the dynamics of COVID-19 transmission, which is highly relevant to the study of infectious diseases influenced by human movement patterns."
Using host species traits to understand the consequences of resource provisioning for host-parasite interactions,10.1111/1365-2656.12765,7.0,,,no,not mentioned,54.0,"microparasites (bacteria, viruses, fungi, protozoa), ectoparasites, helminths",global,"['host-parasite interactions', 'resource provisioning', 'wildlife']",['phylogenetic meta-analysis'],"Yes, this paper should be included because it offers valuable insights into how human-driven changes in wildlife ecology can impact infection dynamics, which is relevant to understanding changes in infectious disease spread in provisioned populations."
Constructing Rigorous and Broad Biosurveillance Networks for Detecting Emerging Zoonotic Outbreaks,10.1371/journal.pone.0124037,8.0,,,no,not provided,7.0,avian influenza,Nigeria,"['biosurveillance', 'zoonotic pathogens', 'SEIR model']","['SEIR epidemiological network model', 'Latin hypercube sample experimental design']","Yes, this paper should be included as its robust demonstration of mathematical models and focused case study of avian influenza in Nigeria provides valuable insights into the construction of biosurveillance systems influenced by human and animal mobility patterns."
Neuropathology of -synuclein propagation and braak hypothesis,10.1002/mds.26421,1.0,,,no,not mentioned,91.0,Parkinson's disease,brain,"[""Parkinson's disease"", 'pathology progression', '-synuclein propagation']",[],"No, this paper should not be included because it focuses on neuropathology related to Parkinson's disease, which does not pertain to infectious diseases or human mobility in the context desired for the discussion."
Fruit bats in flight: a look into the movements of the ecologically important Eidolon helvum in Tanzania,10.1186/s42522-020-00020-9,,,,,,,,,,,
Tracking Strains in the Microbiome: Insights from Metagenomics and Models,10.3389/fmicb.2016.00712,,,,,,,,,,,
Development of a forecasting model for brucellosis spreading in the Italian cattle trade network aimed to prioritise the field interventions,10.1371/journal.pone.0177313,8.0,,,no,not provided,15.0,brucellosis,"Sicily, Italy","['brucellosis', 'cattle trade network', 'epidemic models']","['DFC model', 'SIR model', 'SEIR model']","Yes, this paper should be included as it offers valuable insights into how mobility within cattle trade networks can influence the spread of infectious diseases like brucellosis, which is relevant to understanding patterns of disease spread linked to both animal and potentially human mobility."
"ReCognizing SUspect and PredictiNg ThE SpRead of Contagion Based on Mobile Phone LoCation DaTa (COUNTERACT): A system of identifying COVID-19 infectious and hazardous sites, detecting disease outbreaks based on the internet of things, edge computing, and artificial intelligence",10.1016/j.scs.2021.102798,,,,,,,,,,,
Influences of obstacle factors on the transmission trends of respiratory infectious diseases in indoor public places,10.1016/j.jobe.2022.105706,,,,,,,,,,,
Chronic Fatigue Syndrome: A Case Report Highlighting Diagnosing and Treatment Challenges and the Possibility of Jarisch-Herxheimer Reactions If High Infectious Loads Are Present,10.3390/healthcare9111537,,,,,,,,,,,
Health protocol for translocation of free-ranging elk,10.7589/0090-3558-37.3.413,4.0,,,no,not mentioned,38.0,"chronic wasting disease, Brucella abortus, Mycobacterium bovis","western North America, southeastern USA","['elk translocation', 'infectious agents', 'health protocol']",[],"No, this paper should not be included as its primary focus is on wildlife management and the translocation of elk rather than human mobility and infectious diseases in humans. The study is more relevant to veterinary health and wildlife conservation."
Climate Change and Plant Pathogen Invasions,,2.0,,,no,not mentioned,11.0,plant pathogens,global,"['climate change', 'plant pathogen invasions', 'human transport']",[],"No, this paper should not be included because it focuses on plant pathogens and their invasions related to climate change rather than human-related infectious diseases and human mobility. Hence it marginally aligns with the primary topic of human mobility affecting human infectious diseases."
EPIDEMIC PREDICTIONS AND PREDICTABILITY IN COMPLEX ENVIRONMENTS,10.1142/9789812812339_0012,9.0,,,no,not mentioned,0.0,emerging infectious diseases,global,"['human mobility', 'epidemic predictions', 'transportation networks']",['large-scale stochastic computational approach'],"Yes, this paper should be included because it focuses on the impact of human mobility and transportation networks on the spread of infectious diseases globally, using sophisticated computational models to analyze such dynamics."
"Conservation translocations for amphibian species threatened by chytrid fungus: A review, conceptual framework, and recommendations",10.1111/csp2.524,4.0,,,no,not mentioned,33.0,chytridiomycosis,Australia,"['conservation translocations', 'chytridiomycosis', 'amphibian declines']",[],"No, this paper should not be included because its primary focus is on conservation efforts for amphibians and the disease chytridiomycosis rather than human mobility and its effects on a range of infectious diseases. Though it involves movement (translocation), it is specifically targeted at conservation rather than analytical research on human-induced mobility patterns and diseases spread in general."
Importance of Genetic Engineering and Gene Therapy in the Management of Viral Diseases and Outbreaks,10.14260/jemds/2021/80,,,,,,,,,,,
A scoping review on bovine tuberculosis highlights the need for novel data streams and analytical approaches to curb zoonotic diseases,10.1186/s13567-024-01314-w,6.0,,,no,not mentioned,3.0,bovine tuberculosis,global,"['zoonotic diseases', 'One Health', 'bovine tuberculosis']","['mathematical models', 'simulation modelling']","Yes, this paper should be included as it explores the intersection of wildlife, domestic animals, and human activities in the spread of bovine tuberculosis, a zoonotic disease. Although indirectly related to human mobility, it addresses the broader context of how human activities like habitat changes and road development impact disease dynamics, which could be insightful for broader discussions on the role of human mobility in managing infectious diseases."
"Dynamic, spatial models of parasite transmission in wildlife: Their structure, applications and remaining challenges",10.1111/1365-2656.12761,,,,,,,,,,,
Cutaneous manifestations of rickettsiosis,10.1016/S0248-8663(99)80022-8,,,,,,,,,,,
ON THE OPTIMAL VACCINATION AND TRAVEL-RESTRICTION CONTROLS WITH A DISCRETE MULTI-REGION SIRS EPIDEMIC MODEL,10.28919/cmbn/4954,9.0,,,no,not mentioned,1.0,COVID-19,"Casablanca-Settat regions, Morocco","['SIRS model', 'optimal control', 'travel restrictions']",['SIRS discrete-time multi-regional epidemic model'],"Yes, this paper should be included as it effectively demonstrates the utility of modeling human mobility within the specific context of the COVID-19 pandemic. It provides a focused analysis utilizing a novel control model for managing infectious diseases in multi-region settings."
Permeation Challenges of Drugs for Treatment of Neurological Tuberculosis and HIV and the Application of Magneto-Electric Nanoparticle Drug Delivery Systems,10.3390/pharmaceutics13091479,2.0,,,no,not mentioned,8.0,HIV and tuberculosis,global,"['drug delivery', 'CNS', 'nanoparticles']",[],"No, this paper should not be included because it focuses primarily on drug delivery challenges and solutions for HIV and tuberculosis involving the CNS using nanoparticles. It does not explore the broader impacts of human mobility on the spread or treatment of infectious diseases."
MODULATION OF SLEEP BY CORTISONE IN NORMAL AND BACTERIALLY INFECTED-RABBITS,10.1152/ajpregu.1992.263.6.R1339,,,,,,,,,,,
Melioidosis in Cynomolgus Macaques (Macaca fascicularis) Imported to the United States from Cambodia,10.30802/AALAS-CM-22-000024,,,,,,,,,,,
Rapidly progressive femoral head necrosis due to post-traumatic Brucella hip infection: a case report,10.1177/03000605221139668,2.0,,,no,not mentioned,1.0,brucellosis,"Shanxi, China","['brucellosis', 'osteonecrosis', 'hip arthroplasty']",[],"No, this paper should not be included because it focuses on a specific case of brucellosis causing osteonecrosis due to hip injury and does not discuss broader aspects of human mobility and infectious disease interaction on a conceptual or modeling level."
Climate change impacts in Sub-Saharan Africa: from physical changes to their social repercussions,10.1007/s10113-015-0910-2,7.0,,,no,not mentioned,489.0,infectious disease,Sub-Saharan Africa,"['climate change', 'Sub-Saharan Africa', 'infectious disease']",[],"Yes, this paper should be included because it explores the indirect impacts of climate change on human mobility, which can potentially increase the transmission of infectious diseases in Sub-Saharan Africa. Although it doesn't directly model infectious diseases, the social implications include vital points on how migratory movements due to climate change can affect disease spread, integral for discussions on mitigating future outbreaks."
Hosts mobility and spatial spread of Rickettsia rickettsii,10.1371/journal.pcbi.1006636,,,,,,,,,,,
"Kuru, prions, and human affairs: Thinking about epidemics",10.1146/annurev.anthro.30.1.363,5.0,,,no,not mentioned,53.0,"kuru, bovine spongiform encephalopathy","Papua New Guinea, Europe","['epidemics', 'prions', 'cultural assumptions']",[],"No, this paper should not be included in a discussion specifically about the impact of human mobility on infectious diseases, as it does not focus explicitly on human mobility's relationship with infectious diseases, nor does it utilize significant models or datasets related to the aforementioned context."
Waterfowl recently infected with low pathogenic avian influenza exhibit reduced local movement and delayed migration,10.1002/ecs2.4432,7.0,,,no,not mentioned,6.0,avian influenza,"California, USA","['avian influenza', 'wildlife movement', 'pathogen spread']",[],"Yes, this paper should be included as it investigates the impact of infectious diseases on the movement patterns of hosts, which is relevant to understanding spatial disease dynamics. Although the study focuses on wildlife rather than human mobility, the concepts of movement and infectious disease interactions are pertinent."
Assessing the role of landscape connectivity on Opisthorchis viverrini transmission dynamics,10.1016/j.parint.2016.06.002,7.0,,,no,not mentioned,11.0,Opisthorchis viverrini,"Kamalasai District, Kalasin Province; Phu Wiang District, Khon Kaen Province; Nong Saeng District, Udon Thani Province","['landscape connectivity', 'Opisthorchis viverrini transmission', 'spatial variation of infection risk']","['Euclidean distance', 'topological link and distance', 'graph measures']","Yes, this paper should be included in the discussion as it explores the role of landscape connectivity, resembling human mobility effects, on the transmission dynamics of Opisthorchis viverrini, contributing insight into spatial and environmental factors influencing infectious diseases."
Evaluating the impact of the travel ban within mainland China on the epidemic of the COVID-19,10.1016/j.ijid.2021.03.088,10.0,,,yes,not mentioned,11.0,COVID-19,mainland China,"['COVID-19', 'human mobility', 'travel ban']",['mobility network model'],"Yes, this paper should be included because it precisely focuses on the impact of human mobility restrictions on the spread and control of COVID-19 in a significant geographic context, which is crucial for understanding pandemic management through travel policies."
INFLUENCE OF HOST-DEFENSE ACTIVATION ON SLEEP IN HUMANS,10.1016/0960-5428(95)00006-N,5.0,,,no,not mentioned,35.0,viral diseases,not specified,"['host defense', 'sleep', 'NREM sleep']",[],"No, this paper should not be included as its primary focus is on the interactions between host defense mechanisms and sleep patterns rather than on human mobility's effect on infectious diseases."
"Megacities as drivers of national outbreaks: The 2017 chikungunya outbreak in Dhaka, Bangladesh",10.1371/journal.pntd.0009106,10.0,,,no,not mentioned,16.0,chikungunya,"Dhaka, Bangladesh","['human mobility', 'chikungunya outbreak', 'mobile phone data']",['mechanistic model of chikungunya transmission'],"Yes, this paper should be included because it focuses specifically on the impact of human mobility on the spread of chikungunya in a densely populated megacity during a significant outbreak, using innovative data sources such as mobile phone data."
Tick-borne infectious agents in nature: Simulated effects of changes in host density on spatial-temporal prevalence of infected ticks,10.1016/j.ecolmodel.2015.11.021,7.0,,,no,not mentioned,22.0,not specified,south-central United States,"['tick-host-pathogen interactions', 'spatial-temporal dynamics', 'simulation model']",['spatially explicit simulation model'],"Yes, this paper should be included because it explores the complex interactions between hosts and pathogens via ticks, which are important vectors of diseases affecting humans. The insights from host density changes on pathogen prevalence are valuable for understanding disease spread related to ecological changes, which indirectly connects to human mobility."
"Vaccinology:: past achievements, present roadblocks and future promises",10.1016/S0264-410X(02)00702-8,,,,,,,,,,,
DETECTION OF FELINE CORONAVIRUS IN CHEETAH (ACINONYX JUBATUS) FECES BY REVERSE TRANSCRIPTION-NESTED POLYMERASE CHAIN REACTION IN CHEETAHS WITH VARIABLE FREQUENCY OF VIRAL SHEDDING,10.1638/2011-0110R1.1,2.0,,,no,not mentioned,10.0,feline coronavirus,U.S. zoological facilities,"['feline coronavirus', 'fecal viral shedding', 'zoological']",['reverse transcription-nested polymerase chain reaction (RT-nPCR)'],"No, this paper should not be included as it focuses primarily on a specific animal species (cheetahs) and lacks a direct examination of human mobility's impact on infectious diseases in human populations."
China's practice to prevent and control COVID-19 in the context of large population movement,10.1186/s40249-020-00716-0,,,,,,,,,,,
"Parallels, differences and lessons: a comparison of the management of foot-and-mouth disease and COVID-19 using UK 2001/2020 as points of reference",10.1098/rspb.2020.0906,,,,,,,,,,,
"Evaluation of the impact of live pig trade network, vaccination coverage and socio-economic factors in the classical swine fever eradication program in Peru",10.1016/j.prevetmed.2018.10.019,8.0,,,no,not mentioned,4.0,Classical swine fever,Peru,"['Classical swine fever', 'vaccination program', 'pig trade network']","['multilevel logistic regression', 'walktrap algorithm']","Yes, this paper should be included because it offers a detailed analysis on the role of human mobility (in terms of live pig trade) and vaccination strategies in controlling an infectious disease. Although it focuses on swine, the methods and findings could be transferable or provide useful comparisons for human diseases."
"Ecohealth research in Southeast Asia: past, present and the way forward",10.1186/2049-9957-4-5,8.0,,,no,not mentioned,27.0,emerging infectious diseases (EIDs),Southeast Asia (SEA),"['Ecohealth', 'One Health', 'emerging infectious diseases']",[],"Yes, this paper should be included given its focus on a comprehensive perspective of Ecohealth and One Health in tackling emerging infectious diseases in Southeast Asia, crucial for understanding the dynamics of human mobility on disease spread in the region."
A systematic review of the intercontinental movement of unregulated African meat imports into and through European border checkpoints,10.1016/j.onehlt.2023.100599,5.0,,,no,not mentioned,0.0,not specified,"Africa, Europe","['unregulated meat imports', 'biosurveillance', 'pathogens']",[],"No, this paper should not be included as it primarily focuses on the biosurveillance of unregulated meat imports rather than the direct effects of human mobility on infectious diseases. While the movement of infectious diseases is implied, it is not the primary object of research."
"Roles of alternative splicing in infectious diseases: from hosts, pathogens to their interactions",10.1097/CM9.0000000000002621,2.0,,,no,not mentioned,4.0,not specified,global,"['alternative splicing', 'host-pathogen interactions', 'splicing regulators']",[],"No, this paper should not be included because it does not focus on human mobility or its direct effects on infectious diseases. It primarily studies alternative splicing mechanisms in host-pathogen interactions."
"Drivers of canine distemper virus exposure in dogs at a wildlife interface in Janos, Mexico",10.1002/vro2.7,5.0,,,no,not mentioned,4.0,canine distemper virus,"Janos Biosphere Reserve, Mexico","['canine distemper virus', 'wildlife interface', 'cross-species transmission']",[],"No, this paper should not be included because it focuses specifically on canine distemper virus in a specific region rather than human mobility's broader effect on infectious diseases."
Pathogen prevalence is associated with cultural changes in gender equality,10.1038/s41562-016-0003,,,,,,,,,,,
A novel geo-hierarchical population mobility model for spatial spreading of resurgent epidemics,10.1038/s41598-021-93810-8,9.0,,,no,not mentioned,6.0,"global epidemics like influenza, measles, H1N1, SARS, and COVID-19",global,"['human mobility', 'resurgent epidemics', 'spatial spreading']","['discrete event simulation', 'adapted SIR model with relapse']","Yes, this paper should be included because it provides a critical analysis on the role of human mobility in the spread of infectious diseases across geographical scales, employing novel modeling techniques relevant to the field."
Genetic structure and rabies spread potential in raccoons: the role of landscape barriers and sex-biased dispersal,10.1111/j.1752-4571.2012.00238.x,6.0,,,not mentioned,not mentioned,39.0,rabies,"Quebec, Canada","['raccoon rabies variant', 'genetic structure', 'landscape barriers']",[],"No, this paper should not be included in a primary discussion about human mobility and infectious diseases because it focuses more on genetic barriers and less on human mobility directly affecting disease spread."
Major swine viral diseases: an Asian perspective after the African swine fever introduction,10.1186/s40813-020-00159-x,5.0,,,no,not mentioned,37.0,African swine fever,Asia,"['African swine fever', 'pig industry', 'virus transmission']",[],"No, this paper should not be included in a discussion paper about human mobility and infectious diseases. Despite discussing factors such as animal movement and human-driven disease transmission, it is primarily focused on swine diseases and their impact on the pig industry rather than human diseases and mobility."
Methods for Rapid Mobility Estimation to Support Outbreak Response,10.1089/hs.2019.0101,9.0,,,no,not mentioned,2.0,Ebola,Democratic Republic of the Congo,"['human mobility', 'outbreak response', 'epidemic model']",['epidemic model'],"Yes, this paper should be included as it explicitly addresses the role of human mobility in modeling and responding to infectious disease outbreaks, providing a case study with an epidemic model in the context of an Ebola outbreak; however, the model details and datasets are not explicitly available publicly, which could limit reproducibility and further application."
Spatio-Temporal Contact Mining for Multiple Trajectories-of-Interest,10.1109/ACCESS.2024.3407776,,,,,,,,,,,
Navigating the Landscape of Tick Diversity: Integrating Molecular Approaches for Enhanced Control Measures,10.1089/vbz.2024.0052,8.0,,,no,not mentioned,0.0,"Crimean-Congo hemorrhagic fever, tick-borne encephalitis, African swine fever",sub-Saharan Africa,"['tick diversity', 'zoonotic pathogens', 'molecular techniques']",[],"Yes, this paper should be included because it provides insightful information on how the mobility of animals influenced by human practices impacts the spread of tick-borne diseases, which is relevant to discussions on human mobility and infectious diseases."
An Epidemiological Model of Rift Valley Fever with Spatial Dynamics,10.1155/2012/138757,8.0,,,no,not mentioned,29.0,Rift Valley fever,United States,"['human mobility', 'Rift Valley fever', 'epidemiological model']","['mathematical model', 'ordinary differential equations']","Yes, this paper should be included because it addresses the direct impact of human and animal mobility on the spread of an infectious disease, Rift Valley fever, providing relevant insights on spatial dynamics which are crucial for understanding disease spread in relation to mobility."
The Spread of Fecally Transmitted Parasites in Socially-Structured Populations,10.1371/journal.pone.0021677,8.0,,,no,not mentioned,55.0,fecally transmitted parasites,simulated reserve,"['fecally transmitted parasites', 'socially structured populations', 'range use intensity']","['individual-based spatial simulation model', 'Latin hypercube sampling']","Yes, this paper should be included because it explores the influence of mobility patterns within socially structured populations on the spread of infectious diseases. Its focus on disease dynamics in specific settings linked to human-like social behaviors can provide valuable insights into infectious disease modeling related to human mobility."
The 'breakpoint' of soil-transmitted helminths with infected human migration,10.1016/j.jtbi.2019.110076,8.0,,,no,not mentioned,7.0,soil-transmitted helminths,villages,"['soil-transmitted helminths', 'human migration', 'transmission dynamics']","['analytic framework', 'stochastic model']","Yes, this paper should be included as it provides a specific case of how human mobility influences the transmission dynamics of infectious diseases, specifically soil-transmitted helminths, and uses a combination of analytic and stochastic models to address these dynamics."
Trust in social non-pharmaceutical interventions and travel intention during a pandemic,10.1177/13567667211009584,,,,,,,,,,,
The Rights of Elders in Ireland during COVID-19,10.1163/15718093-bja10035,3.0,,,no,not mentioned,4.0,COVID-19,Ireland,"['COVID-19', 'elders', 'restrictions']",[],"No, this paper should not be included because it does not focus on the direct analysis of human mobility patterns or their implications for the spread of infectious diseases. Instead, it discusses legal and ethical implications of restrictions during the pandemic."
Prevalence of West Nile virus neutralizing antibodies in colonial aquatic birds in southern Spain,10.1080/03079450701332329,6.0,,,no,not mentioned,51.0,West Nile virus,southern Spain,"['West Nile virus', 'wildlife disease dispersal', 'antibody prevalence']",[],"Yes, this paper should be included because it highlights the role of wildlife, specifically birds, in the dispersal of infectious diseases like West Nile virus, which indirectly ties to the broader implications of animal mobility on human health. However, it does not explicitly connect to human mobility models."
Precarious connections: Making therapeutic production happen for malaria and tuberculosis,10.1016/j.socscimed.2014.07.039,4.0,,,no,not mentioned,13.0,malaria and tuberculosis,global,"['One Health', 'collaboration', 'pharmaceuticals']",[],"No, this paper should not be included as it focuses on interdisciplinary collaboration and pharmaceutical development rather than the direct impact of human mobility on infectious diseases."
"CAUSES AND TRENDS OF HARBOR SEAL (PHOCA VITULINA) MORTALITY ALONG THE BRITISH COLUMBIA COAST, CANADA, 2012-2020",10.7589/JWD-D-22-00172,1.0,,,no,not mentioned,1.0,"Phocid herpesvirus-1 infection, Cryptococcus gattii, and mucormycosis",British Columbia,"['harbor seal mortality', 'infectious disease', 'British Columbia']",[],"No, this paper should not be included because it primarily focuses on the causes of mortality in harbor seals rather than effects of human mobility on infectious diseases in human populations."
"Threatened by many complex food security problems - agriculture, academic, and government professionals seek new one health research partnerships",10.1016/j.onehlt.2024.100890,3.0,,,no,not mentioned,1.0,not specified,"Galveston, Texas","['food security', 'One Health', 'international trade']",[],"No, this paper should not be included as it does not focus on the direct relationship between human mobility and infectious diseases, rather it is centered around food security and intersectoral collaboration."
"Addressing vulnerability, building resilience: community-based adaptation to vector-borne diseases in the context of global change",10.1186/s40249-017-0375-2,7.0,,,no,not mentioned,59.0,vector-borne diseases,global,"['vector-borne diseases', 'community-based adaptation', 'global change']",['not specified'],"Yes, this paper should be included because it offers a comprehensive analysis of community-based adaptations to vector-borne diseases in a globally changing environment. Although it does not specifically focus on human mobility, the implications of global change can indirectly relate to mobility patterns affecting disease spread."
"Network Analysis of MERS Coronavirus within Households, Communities, and Hospitals to Identify Most Centralized and Super-Spreading in the Arabian Peninsula, 2012 to 2016",10.1155/2018/6725284,,,,,,,,,,,
CHANGING ATTITUDES TOWARD HUMAN-GENETICS AND EUGENICS,10.1080/19485565.1958.9987365,1.0,,,no,not mentioned,4.0,not specified,global,"['human genetics', 'eugenics', 'environmentalism']",[],"No, this paper should not be included because it does not focus on human mobility and its effects on infectious diseases. The study primarily examines the history and societal impacts of human genetics and eugenics, which are unrelated to the specific topics of human mobility and infectious diseases."
Incursion of European Bat Lyssavirus 1 (EBLV-1) in Serotine Bats in the United Kingdom,10.3390/v13101979,5.0,,,no,not mentioned,6.0,European bat lyssavirus 1 (EBLV-1),"South West England, Dorset","['zoonotic viruses', 'rabies', 'bat lyssavirus']",[],"No, this paper should not be included because it primarily focuses on the detection and emergence of EBLV-1 among bats in the UK, with less emphasis on human mobility factors that could influence the spread of infectious diseases."
The changing ecology of primate parasites: Insights from wild-captive comparisons,10.1002/ajp.22991,,,,,,,,,,,
Cell-phone traces reveal infection-associated behavioral change,10.1073/pnas.2005241118,,,,,,,,,,,
Contact Mixing Patterns and Population Movement among Migrant Workers in an Urban Setting in Thailand,10.3390/ijerph17072237,8.0,,,no,not mentioned,3.0,not specified,urban settings in Thailand,"['contact mixing patterns', 'migrant workers', 'urban setting']",[],"Yes, this paper should be included because it provides detailed empirical data on human mobility specifically among migrant workers, which is crucial for understanding and modeling infectious disease dynamics within vulnerable populations."
Dynamics and Patterns,,3.0,,,no,not mentioned,0.0,not specified,global,"['reaction-diffusion systems', 'Turing-Hopf bifurcation', 'spatio-temporal patterns']","['reaction-diffusion-advection model', 'ordinary differential equations']","No, this paper should not be included as it lacks direct relevance to human mobility's impact on infectious diseases, focusing more on ecological and environmental models without a clear connection to human diseases."
Through the Eyes: A Case of Ocular Syphilis,10.7759/cureus.48236,2.0,,,no,not mentioned,1.0,syphilis,not specified,"['ocular syphilis', 'syphilis', 'case report']",[],"No, this paper should not be included because it focuses primarily on a case report of ocular syphilis without any substantial discussion on human mobility or its effect on the spread of the disease."
Does Parkinson's disease have an immunological basis? The evidence and its therapeutic implications,10.2165/00063030-200115060-00001,1.0,,,no,not mentioned,26.0,Parkinson's disease,not specified,"['immunology', ""Parkinson's disease"", 'neurodegeneration']",[],"No, this paper should not be included because it focuses on the immunological aspects of Parkinson's disease rather than on human mobility and its effects on infectious diseases."
"Cortactin: A major cellular target of viral, protozoal, and fungal pathogens",10.1111/mmi.15284,4.0,,,no,not mentioned,0.0,"viral, protozoal, fungal infections",not specified,"['cortactin', 'host-pathogen interactions', 'infectious diseases']",[],"No, this paper should not be included as it focuses more on molecular biology and cellular interactions rather than the effects of human mobility on infectious diseases."
Emerging health issues: the widening challenge for population health promotion,10.1093/heapro/dal047,7.0,,,no,not mentioned,32.0,infectious diseases,global,"['infectious diseases', 'health promotion', 'global health']",[],"Yes, this paper should be included as it comprehensively discusses the global health impact of various factors including infectious diseases, which are influenced by human mobility. However, the lack of specific models used and data transparency might limit its utility in technical modeling discussions."
Assessing One Health capacities for transboundary zoonotic diseases at the Libya-Tunisia border,10.1186/s42522-024-00101-z,8.0,,,no,not mentioned,1.0,"avian influenza, brucellosis, Rift Valley fever, Crimean-Congo hemorrhagic fever, rabies",Libya-Tunisia border,"['One Health', 'transboundary zoonotic diseases', 'cross-border cooperation']","['One Health Systems Assessment for Priority Zoonoses (OHSAPZ)', 'One Health Transboundary Assessment for Priority Zoonoses (OHTAPZ)']","Yes, this paper should be included because it specifically explores the impact of human and animal mobility across borders on the spread and management of infectious diseases, which is essential for understanding patterns of disease transmission in a cross-border context."
Ascension of Chlamydia is moderated by uterine peristalsis and the neutrophil response to infection,10.1371/journal.pcbi.1009365,3.0,,,no,not mentioned,2.0,Chlamydia trachomatis,not specified,"['Chlamydia trachomatis', 'infectious load', 'neutrophil response']",['stochastic model'],"No, this paper should not be included because it specifically focuses on the biological and internal factors contributing to the ascension of Chlamydia trachomatis in women and does not explore the broader implications of human mobility in the context of infectious diseases."
Metapopulation epidemic models with heterogeneous mixing and travel behaviour,10.1186/1742-4682-11-3,8.0,,,no,not mentioned,77.0,H1N1 influenza,global,"['metapopulation model', 'pandemic potential', 'heterogeneous mixing']",['stochastic epidemic metapopulation model'],"Yes, this paper should be included in the discussion as it presents a significant theoretical contribution to understanding the spatial spread of infectious diseases influenced by human mobility and mixing patterns, using an informed case study of the 2009 H1N1 pandemic."
Re-emergence of Lassa fever in Nigeria: A new challenge for public health authorities,10.1002/hsr2.1628,7.0,,,no,not mentioned,1.0,Lassa fever,Nigeria,"['Lassa fever', 'public health', 'West Africa']",[],"No, this paper should not be included as it primarily focuses on the challenges related to public health infrastructure and lacks specific models and analysis on the direct impact of human mobility on infectious diseases."
Stability analysis of a fractional order model for the HIV/AIDS epidemic in a patchy environment,10.1016/j.cam.2018.06.055,7.0,,,no,not mentioned,71.0,HIV/AIDS,global,"['HIV/AIDS', 'human movement', 'fractional order model']","['fractional order model', 'fractional optimal control problem (FOCP)']","Yes, this paper should be included because it investigates the direct impact of human mobility on the spread of HIV/AIDS using sophisticated mathematical models and could provide valuable insights into the dynamics of other infectious diseases influenced by human movement."
EpiExploreR: A Shiny Web Application for the Analysis of Animal Disease Data,10.3390/microorganisms7120680,7.0,,,no,not mentioned,5.0,zoonotic infectious diseases,Italy,"['animal disease data', 'epidemiological assessment', 'spatiotemporal analysis']",['not specified'],"Yes, this paper should be included because it provides insights into the surveillance and analysis of zoonotic diseases, which can act as early warnings for human health. Although it does not directly discuss human mobility, the control and monitoring of animal movement are crucial for understanding disease dynamics."
"Connectivity, reproduction number, and mobility interact to determine communities' epidemiological superspreader potential in a metapopulation network",10.1371/journal.pcbi.1008674,10.0,,,no,not mentioned,9.0,vector-borne and directly transmitted diseases,global,"['superspreader', 'metapopulation network', 'reproduction number']","['mathematical models', 'Monte Carlo analysis', 'random forest statistical model']","Yes, this paper should be included as it offers a comprehensive model that integrates human mobility, superspreader phenomena, and epidemiological factors across a network, making it highly relevant and potentially influential for studies and discussions on the impact of human mobility on infectious diseases."
Risky Business: Live Non-CITES Wildlife UK Imports and the Potential for Infectious Diseases,10.3390/ani10091632,,,,,,,,,,,
Architecture-Aware Modeling of Pedestrian Dynamics,10.1007/s41745-021-00250-4,8.0,,,no,not mentioned,2.0,COVID-19,global,"['pedestrian dynamics', 'social distancing', 'computational performance']","['parameter sweep', 'architecture-aware model']","Yes, this paper should be included in the discussion as it focuses on the implications of human mobility on infectious disease spread using advanced computational models. Although it does not offer a public dataset, the novel approach of architecture-aware modeling provides valuable insights into optimizing simulations for policy evaluations in pandemic scenarios."
Influence of Humans on Evolution and Mobilization of Environmental Antibiotic Resistome,10.3201/eid1907.120871,7.0,,,no,not mentioned,49.0,antibiotic resistance,global,"['antibiotic resistance', 'environmental bacteria', 'gene mobilization']",[],"Yes, this paper should be included because it investigates the impact of human activities on the mobilization of resistance determinants in environmental bacteria, which indirectly affects infectious disease dynamics globally."
Release of live baitfish by recreational anglers drives fish pathogen introduction risk,10.1016/j.prevetmed.2023.105960,5.0,,,no,not mentioned,2.0,"viral hemorrhagic septicemia virus, Ovipleistophora ovariae, Schizocotyle acheilognathi","Minnesota, USA","['wildlife diseases', 'human behavior', 'risk assessment']",['stochastic risk assessment model'],"No, this paper should not be included because it focuses on fish pathogens introduced by anglers, which, while interesting within the context of human-mediated animal movement, is tangentially related to the typical focus on human diseases and their spread associated with human mobility."
